phenotype,Gene,ontoma_mapping,ontoma_mapping_label,icd_mapping,icd_mapping_label,top_assoc_mapping,top_assoc_mapping_label
41272#M131#M13.1 Percutaneous needle biopsy of lesion of kidney,PKD1,,,,,EFO_0009690,urinary system disease
41272#Z364#Z36.4 Brachial artery,PKD1,,,,,EFO_0009690,urinary system disease
Union#BlockH40-H42#H40-H42 Glaucoma,MYOC,EFO_0000516,glaucoma,EFO_0000516,glaucoma,MONDO_0024458,disease of visual system
Union#BlockH40-H42#H40-H42 Glaucoma,MYOC,EFO_0000516,glaucoma,,,MONDO_0024458,disease of visual system
20001#1040#uterine|endometrial cancer,MSH6,,,,,MONDO_0045024,cancer or benign tumor
41272#ChapterT#Chapter T - Soft Tissue,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
Union#BlockT80-T88#T80-T88 Complications of surgical and medical care| not elsewhere classified,PKD1,,,EFO_0009518,complication,EFO_0009690,urinary system disease
Union#BlockT80-T88#T80-T88 Complications of surgical and medical care| not elsewhere classified,PKD1,,,EFO_0009519,device complication,EFO_0009690,urinary system disease
Union#BlockT80-T88#T80-T88 Complications of surgical and medical care| not elsewhere classified,PKD1,,,EFO_0005198,transplant outcome measurement,EFO_0009690,urinary system disease
Union#I421#I42.1 Obstructive hypertrophic cardiomyopathy,MYBPC3,EFO_0000538,hypertrophic cardiomyopathy,EFO_0000538,hypertrophic cardiomyopathy,OTAR_0000010,respiratory or thoracic disease
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003853,respiratory system neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003853,respiratory system neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003853,respiratory system neoplasm,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003863,urogenital neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003863,urogenital neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003863,urogenital neoplasm,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003769,endocrine neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003769,endocrine neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0003769,endocrine neoplasm,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0002429,polycythemia vera,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0002429,polycythemia vera,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_0002429,polycythemia vera,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_1000201,Common Hematopoietic Neoplasm,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_1000201,Common Hematopoietic Neoplasm,MONDO_0045024,cancer or benign tumor
Union#BlockD37-D48#D37-D48 Neoplasms of uncertain or unknown behaviour,SRSF2,,,EFO_1000201,Common Hematopoietic Neoplasm,MONDO_0023370,neoplastic disease or syndrome
Union#C91#C91 Lymphoid leukaemia,IGLL5,EFO_0004289,lymphoid leukemia,EFO_0000220,acute lymphoblastic leukemia,EFO_0000540,immune system disease
41200#M13#M13 Percutaneous puncture of kidney,PKD1,,,,,EFO_0009690,urinary system disease
41200#ChapterB#Chapter B - Endocrine System and Breast,BRCA1,,,,,MONDO_0045024,cancer or benign tumor
41202#D126#D12.6 Colon| unspecified,MUTYH,,,,,MONDO_0045024,cancer or benign tumor
41272#Y801#Y80.1 Inhalation anaesthetic using muscle relaxant,NEK9,,,,,EFO_0000508,genetic disorder
41272#Y801#Y80.1 Inhalation anaesthetic using muscle relaxant,NEK9,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#Q85#Q85 Phakomatoses| not elsewhere classified,NF1,,,,,EFO_0010285,integumentary system disease
"Source of report of Q85 (phakomatoses, not elsewhere classified)",NF1,,,,,EFO_0010285,integumentary system disease
Union#Q850#Q85.0 Neurofibromatosis (nonmalignant),NF1,,,Orphanet_363700,Neurofibromatosis type 1 due to NF1mutation or intragenic deletion,EFO_0010285,integumentary system disease
Union#Q850#Q85.0 Neurofibromatosis (nonmalignant),NF1,,,Orphanet_137605,Legius syndrome,EFO_0010285,integumentary system disease
Union#Q850#Q85.0 Neurofibromatosis (nonmalignant),NF1,,,Orphanet_637,Neurofibromatosis type 2,EFO_0010285,integumentary system disease
Union#Q850#Q85.0 Neurofibromatosis (nonmalignant),NF1,,,Orphanet_93921,Neurofibromatosis type 3,EFO_0010285,integumentary system disease
Union#Q850#Q85.0 Neurofibromatosis (nonmalignant),NF1,,,Orphanet_636,Neurofibromatosis type 1,EFO_0010285,integumentary system disease
Union#Q850#Q85.0 Neurofibromatosis (nonmalignant),NF1,,,Orphanet_97685,17q11 microdeletion syndrome,EFO_0010285,integumentary system disease
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A7,,,,,EFO_0000508,genetic disorder
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A7,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A7,,,,,EFO_0000589,metabolic disease
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A7,,,,,OTAR_0000020,nutritional or metabolic disease
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A9,,,,,EFO_0000508,genetic disorder
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A9,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A9,,,,,EFO_0000589,metabolic disease
Source of report of E80 (disorders of porphyrin and bilirubin metabolism),UGT1A9,,,,,OTAR_0000020,nutritional or metabolic disease
41272#X723#X72.3 Delivery of simple parenteral chemotherapy for neoplasm at first attendance,BRCA2,,,,,MONDO_0045024,cancer or benign tumor
41202#Q61#Q61 Cystic kidney disease,PKD2,EFO_0008615,Cystic Kidney Disease,,,EFO_0009690,urinary system disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_183435,Inherited ichthyosis,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_183435,Inherited ichthyosis,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_183435,Inherited ichthyosis,EFO_0010285,integumentary system disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_281097,Autosomal recessive congenital ichthyosis,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_281097,Autosomal recessive congenital ichthyosis,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_281097,Autosomal recessive congenital ichthyosis,EFO_0010285,integumentary system disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,EFO_1000690,epidermolysis bullosa,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,EFO_1000690,epidermolysis bullosa,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,EFO_1000690,epidermolysis bullosa,EFO_0010285,integumentary system disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_139027,Malformation syndrome with skin/mucosae involvement,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_139027,Malformation syndrome with skin/mucosae involvement,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,Orphanet_139027,Malformation syndrome with skin/mucosae involvement,EFO_0010285,integumentary system disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,HP_0000769,Abnormality of the breast,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,HP_0000769,Abnormality of the breast,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,HP_0000769,Abnormality of the breast,EFO_0010285,integumentary system disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,,,OTAR_0000006,musculoskeletal or connective tissue disease
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockQ80-Q89#Q80-Q89 Other congenital malformations,NF1,,,,,EFO_0010285,integumentary system disease
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,MONDO_0001475,neutropenia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,MONDO_0001475,neutropenia,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,MONDO_0001475,neutropenia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,HP_0012234,Agranulocytosis,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,HP_0012234,Agranulocytosis,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,HP_0012234,Agranulocytosis,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_86788,X-linked severe congenital neutropenia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_86788,X-linked severe congenital neutropenia,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_86788,X-linked severe congenital neutropenia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_331176,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_331176,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_331176,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_486,Autosomal dominant severe congenital neutropenia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_486,Autosomal dominant severe congenital neutropenia,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_486,Autosomal dominant severe congenital neutropenia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_42738,Severe congenital neutropenia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_42738,Severe congenital neutropenia,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_42738,Severe congenital neutropenia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_2686,Cyclic neutropenia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_2686,Cyclic neutropenia,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_2686,Cyclic neutropenia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_369852,Recurrent infections-myelofibrosis-nephromegaly syndrome,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_369852,Recurrent infections-myelofibrosis-nephromegaly syndrome,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_369852,Recurrent infections-myelofibrosis-nephromegaly syndrome,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_101987,Constitutional neutropenia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_101987,Constitutional neutropenia,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_101987,Constitutional neutropenia,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_99749,Kostmann syndrome,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_99749,Kostmann syndrome,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_99749,Kostmann syndrome,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_183681,Functional neutrophil defect,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_183681,Functional neutrophil defect,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_183681,Functional neutrophil defect,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_183707,Neutrophil immunodeficiency syndrome,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_183707,Neutrophil immunodeficiency syndrome,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_183707,Neutrophil immunodeficiency syndrome,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_379,Chronic granulomatous disease,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_379,Chronic granulomatous disease,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_379,Chronic granulomatous disease,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_169142,Recurrent infection due to specific granule deficiency,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_169142,Recurrent infection due to specific granule deficiency,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,Orphanet_169142,Recurrent infection due to specific granule deficiency,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,,,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,,,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,,,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,EFO_0009002,splenic disease,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,EFO_0009002,splenic disease,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,EFO_0009002,splenic disease,MONDO_0023370,neoplastic disease or syndrome
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,MONDO_0001117,methemoglobinemia,OTAR_0000018,"genetic, familial or congenital disease"
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,MONDO_0001117,methemoglobinemia,MONDO_0045024,cancer or benign tumor
Union#BlockD70-D77#D70-D77 Other diseases of blood and blood-forming organs,SRSF2,,,MONDO_0001117,methemoglobinemia,MONDO_0023370,neoplastic disease or syndrome
