acid	aid	assay_component_name	assay_component_desc	assay_component_target_desc	biological_process_target	approved_symbol	id	ensembl_gene_id	_merge
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000106546	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000111087	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000116044	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000182968	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000072310	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000141510	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000144852	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000172216	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000134954	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000125798	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000125347	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000185122	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000158773	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000113580	both
64	5	ATG_NFI_CIS	ATG_NFI_CIS, is one of 52 assay component(s) measured or calculated from the ATG_CIS assay. It is designed to make measurements of mRNA induction, a form of inducible reporter, as detected with fluorescence intensity signals by Reverse transcription polymerase chain reaction (RT-PCR) and Capillary electrophoresis technology.	Changes to fluorescence intensity signals are indicative of inducible changes in transcription factor activity. This is quantified by the level of mRNA reporter sequence unique to the cis-acting reporter gene NFI, which is responsive to the endogenous human nuclear factor I/A [GeneSymbol:NFIA | GeneID:4774 | Uniprot_SwissProt_Accession:Q12857].	regulation of transcription factor activity	nfia	ENSG00000162599	ENSG00000100644	both
